timestamp,raw_value,attention
1582685661.2378721,-21,0
1582685661.239091,-45,0
1582685661.240371,-46,0
1582685661.241677,-54,0
1582685661.24507,-73,0
1582685661.245174,-81,0
1582685661.245269,-58,0
1582685661.245364,-8,0
1582685661.245458,23,0
1582685661.2455528,20,0
1582685661.2456472,18,0
1582685661.24574,38,0
1582685661.245833,54,0
1582685661.2459269,60,0
1582685661.24602,56,0
1582685661.246113,56,0
1582685661.246206,60,0
1582685661.246423,64,0
1582685661.2465181,80,0
1582685661.246612,103,0
1582685661.2467048,108,0
1582685661.246798,84,0
1582685661.246891,57,0
1582685661.246984,60,0
1582685661.2470772,88,0
1582685661.24717,104,0
1582685661.247264,101,0
1582685661.2478862,93,0
1582685661.24916,75,0
1582685661.250329,48,0
1582685661.290276,11,0
1582685661.2926998,-9,0
1582685661.2962089,-13,0
1582685661.296287,-34,0
1582685661.2963572,-58,0
1582685661.296427,-49,0
1582685661.2964969,-9,0
1582685661.296566,25,0
1582685661.296635,42,0
1582685661.2967029,42,0
1582685661.296771,43,0
1582685661.296839,54,0
1582685661.2969081,51,0
1582685661.2969759,48,0
1582685661.297044,57,0
1582685661.297112,80,0
1582685661.297179,82,0
1582685661.297248,57,0
1582685661.297316,44,0
1582685661.297384,58,0
1582685661.297452,80,0
1582685661.297548,76,0
1582685661.2976158,75,0
1582685661.297684,102,0
1582685661.298933,123,0
1582685661.3001542,105,0
1582685661.301482,82,0
1582685661.302621,67,0
1582685661.305313,67,0
1582685661.306535,50,0
1582685661.309185,32,0
1582685661.310347,4,0
1582685661.352905,-7,0
1582685661.354173,-19,0
1582685661.35671,-49,0
1582685661.3598878,-72,0
1582685661.360003,-73,0
1582685661.3600981,-68,0
1582685661.360192,-52,0
1582685661.360286,-27,0
1582685661.360385,0,0
1582685661.360491,3,0
1582685661.360586,-17,0
1582685661.360804,-11,0
1582685661.360907,9,0
1582685661.361011,28,0
1582685661.361129,34,0
1582685661.361378,12,0
1582685661.3614872,6,0
1582685661.361592,33,0
1582685661.361685,53,0
1582685661.361779,52,0
1582685661.361872,40,0
1582685661.3619661,48,0
1582685661.362059,69,0
1582685661.3621519,76,0
1582685661.362887,57,0
1582685661.364112,54,0
1582685661.365416,70,0
1582685661.366637,69,0
1582685661.3691452,38,0
1582685661.3703492,5,0
1582685661.410538,-23,0
1582685661.411476,-42,0
1582685661.412859,-40,0
1582685661.417683,-28,0
1582685661.4177868,-10,0
1582685661.4178839,4,0
1582685661.4179788,-4,0
1582685661.4180732,-23,0
1582685661.418167,-18,0
1582685661.418261,24,0
1582685661.418354,59,0
1582685661.418447,81,0
1582685661.418541,96,0
1582685661.418634,82,0
1582685661.418727,50,0
1582685661.4189508,33,0
1582685661.419049,60,0
1582685661.419143,89,0
1582685661.4192362,84,0
1582685661.419329,65,0
1582685661.419422,55,0
1582685661.4195142,68,0
1582685661.419607,76,0
1582685661.420366,65,0
1582685661.4216409,42,0
1582685661.4229388,19,0
1582685661.425436,8,0
1582685661.426569,8,0
1582685661.427723,6,0
1582685661.428952,-1,0
1582685661.4301472,-6,0
1582685661.4692879,-4,0
1582685661.4701881,-20,0
1582685661.472747,-56,0
1582685661.474124,-81,0
1582685661.47613,-73,0
1582685661.4762769,-44,0
1582685661.476374,-27,0
1582685661.4764779,-22,0
1582685661.4765701,-10,0
1582685661.476663,-5,0
1582685661.4767559,-2,0
1582685661.4768488,26,0
1582685661.476943,73,0
1582685661.477035,91,0
1582685661.4771268,89,0
1582685661.477219,85,0
1582685661.477312,81,0
1582685661.477403,82,0
1582685661.477507,93,0
1582685661.4776452,115,0
1582685661.477716,144,0
1582685661.477785,148,0
1582685661.477855,124,0
1582685661.4791129,76,0
1582685661.4816482,28,0
1582685661.482934,6,0
1582685661.484162,-4,0
1582685661.485421,-3,0
1582685661.486712,3,0
1582685661.487894,-5,0
1582685661.53172,-56,0
1582685661.532953,-117,0
1582685661.534175,-132,0
1582685661.535371,-103,0
1582685661.536617,-77,0
1582685661.540082,-77,0
1582685661.540187,-93,0
1582685661.540283,-92,0
1582685661.540378,-81,0
1582685661.540472,-82,0
1582685661.540566,-66,0
1582685661.54066,-33,0
1582685661.540755,5,0
1582685661.540849,17,0
1582685661.5409431,4,0
1582685661.541037,-3,0
1582685661.541131,0,0
1582685661.541225,19,0
1582685661.541413,61,0
1582685661.5415199,104,0
1582685661.5416162,124,0
1582685661.541718,114,0
1582685661.541812,86,0
1582685661.541905,75,0
1582685661.5419981,90,0
1582685661.5428438,102,0
1582685661.5439548,85,0
1582685661.545398,54,0
1582685661.5466769,41,0
1582685661.549118,34,0
1582685661.550383,24,0
1582685661.592748,13,0
1582685661.5941172,-4,0
1582685661.595314,-20,0
1582685661.602643,-20,0
1582685661.602746,-1,0
1582685661.602842,28,0
1582685661.602936,49,0
1582685661.60303,54,0
1582685661.603124,59,0
1582685661.603217,80,0
1582685661.603311,109,0
1582685661.603403,125,0
1582685661.603497,125,0
1582685661.6035898,128,0
1582685661.603683,144,0
1582685661.603776,137,0
1582685661.603911,102,0
1582685661.6040058,61,0
1582685661.604104,50,0
1582685661.604197,77,0
1582685661.604291,102,0
1582685661.604384,91,0
1582685661.604477,58,0
1582685661.6045692,54,0
1582685661.6054149,74,0
1582685661.606667,89,0
1582685661.6079009,71,0
1582685661.6091552,43,0
1582685661.609257,36,0
1582685661.6093519,32,0
1582685661.610379,40,0
1582685661.6492622,49,0
1582685661.652857,32,0
1582685661.6550038,11,0
1582685661.655114,20,0
1582685661.65521,38,0
1582685661.655304,60,0
1582685661.655398,68,0
1582685661.655491,75,0
1582685661.655584,104,0
1582685661.6556768,140,0
1582685661.6557708,154,0
1582685661.655864,153,0
1582685661.655956,163,0
1582685661.65605,184,0
1582685661.6561432,193,0
1582685661.656246,176,0
1582685661.6564748,147,0
1582685661.6566138,160,0
1582685661.656713,187,0
1582685661.656863,182,0
1582685661.656987,149,0
1582685661.657111,132,0
1582685661.657672,150,0
1582685661.659144,155,0
1582685661.6603708,135,0
1582685661.662913,106,0
1582685661.66414,98,0
1582685661.6654022,108,0
1582685661.6666281,105,0
1582685661.714167,77,0
1582685661.715452,52,0
1582685661.716654,35,0
1582685661.717705,22,0
1582685661.7191281,18,0
1582685661.7225358,27,0
1582685661.7226381,49,0
1582685661.722734,61,0
1582685661.7228281,57,0
1582685661.722922,58,0
1582685661.723016,88,0
1582685661.72311,82,0
1582685661.7232041,40,0
1582685661.723298,34,0
1582685661.723391,72,0
1582685661.7234838,106,0
1582685661.7235782,97,0
1582685661.7236722,72,0
1582685661.723785,74,0
1582685661.723903,89,0
1582685661.723998,91,0
1582685661.7240908,73,0
1582685661.724185,61,0
1582685661.724279,74,0
1582685661.724372,64,0
1582685661.724465,26,0
1582685661.724562,9,0
1582685661.7246552,10,0
1582685661.725418,4,0
1582685661.726594,-8,0
1582685661.727962,-10,0
1582685661.729174,4,0
1582685661.7968361,5,0
1582685661.797954,-17,0
1582685661.7991629,-52,0
1582685661.832891,-68,0
1582685661.834125,-42,0
1582685661.8370528,7,0
1582685661.837157,42,0
1582685661.837253,56,0
1582685661.837348,44,0
1582685661.8374422,32,0
1582685661.837536,42,0
1582685661.837705,72,0
1582685661.837805,90,0
1582685661.8379,87,0
1582685661.837993,80,0
1582685661.838086,81,0
1582685661.838179,106,0
1582685661.838272,137,0
1582685661.8383648,135,0
1582685661.838458,119,0
1582685661.838551,119,0
1582685661.838644,131,0
1582685661.8387358,130,0
1582685661.838829,124,0
1582685661.838922,128,0
1582685661.8390138,135,0
1582685661.839107,145,0
1582685661.8392,141,0
1582685661.839293,130,0
1582685661.8393862,148,0
1582685661.839479,177,0
1582685661.839653,168,0
1582685661.839781,135,0
1582685661.8398771,108,0
1582685661.8399801,99,0
1582685661.8400729,105,0
