timestamp,raw_value,attention
1582685661.246206,60,0
1582685661.250329,48,0
1582685661.250329,48,0
1582685661.250329,48,0
1582685661.250329,48,0
1582685661.2926998,-9,0
1582685661.3001542,105,0
1582685661.309185,32,0
1582685661.310347,4,0
1582685661.310347,4,0
1582685661.310347,4,0
1582685661.310347,4,0
1582685661.354173,-19,0
1582685661.365416,70,0
1582685661.3703492,5,0
1582685661.3703492,5,0
1582685661.3703492,5,0
1582685661.3703492,5,0
1582685661.3703492,5,0
1582685661.418727,50,0
1582685661.426569,8,0
1582685661.4301472,-6,0
1582685661.4301472,-6,0
1582685661.4301472,-6,0
1582685661.4301472,-6,0
1582685661.474124,-81,0
1582685661.4816482,28,0
1582685661.487894,-5,0
1582685661.487894,-5,0
1582685661.487894,-5,0
1582685661.487894,-5,0
1582685661.487894,-5,0
1582685661.535371,-103,0
1582685661.5439548,85,0
1582685661.550383,24,0
1582685661.550383,24,0
1582685661.550383,24,0
1582685661.550383,24,0
1582685661.550383,24,0
1582685661.595314,-20,0
1582685661.6079009,71,0
1582685661.610379,40,0
1582685661.610379,40,0
1582685661.610379,40,0
1582685661.610379,40,0
1582685661.652857,32,0
1582685661.6603708,135,0
1582685661.6666281,105,0
1582685661.6666281,105,0
1582685661.6666281,105,0
1582685661.6666281,105,0
1582685661.6666281,105,0
1582685661.717705,22,0
1582685661.726594,-8,0
1582685661.729174,4,0
1582685661.729174,4,0
1582685661.729174,4,0
1582685661.729174,4,0
1582685661.729174,4,0
1582685661.729174,4,0
1582685661.729174,4,0
1582685661.7991629,-52,0
1582685661.7991629,-52,0
1582685661.7991629,-52,0
1582685661.832891,-68,0
1582685661.8411899,105,0
1582685661.849186,40,0
1582685661.849186,40,0
1582685661.849186,40,0
1582685661.849186,40,0
1582685661.849186,40,0
1582685661.894172,41,0
1582685661.903776,309,0
1582685661.909207,251,0
1582685661.909207,251,0
1582685661.909207,251,0
1582685661.909207,251,0
1582685661.909207,251,0
1582685661.9591942,122,0
1582685661.9704041,-65,0
1582685661.9704041,-65,0
1582685661.9704041,-65,0
1582685661.9704041,-65,0
1582685662.009093,-109,0
1582685662.0181918,-88,0
1582685662.02661,-122,0
1582685662.0303822,-187,0
1582685662.0303822,-187,0
1582685662.0303822,-187,0
1582685662.0303822,-187,0
1582685662.074155,-248,0
1582685662.082937,-13,0
1582685662.090455,-77,0
1582685662.090455,-77,0
1582685662.090455,-77,0
1582685662.090455,-77,0
1582685662.090455,-77,0
1582685662.134204,-35,0
1582685662.141719,68,0
1582685662.150379,1,0
1582685662.150379,1,0
1582685662.150379,1,0
1582685662.150379,1,0
1582685662.1916008,-19,0
1582685662.2016692,72,0
1582685662.210467,-1,0
1582685662.210467,-1,0
1582685662.210467,-1,0
1582685662.210467,-1,0
1582685662.210467,-1,0
1582685662.2599459,-8,0
1582685662.2679539,59,0
1582685662.270443,25,0
1582685662.270443,25,0
1582685662.270443,25,0
1582685662.270443,25,0
1582685662.270443,25,0
1582685662.3216908,-65,0
1582685662.322913,-53,0
1582685662.322913,-53,0
1582685662.322913,-53,0
1582685662.322913,-53,0
1582685662.322913,-53,0
1582685662.3714979,96,0
1582685662.3714979,96,0
1582685662.3714979,96,0
1582685662.3714979,96,0
1582685662.3714979,96,0
1582685662.3714979,96,0
1582685662.3714979,96,0
1582685662.441026,90,0
1582685662.450279,184,0
1582685662.450279,184,0
1582685662.450279,184,0
1582685662.450279,184,0
1582685662.450279,184,0
1582685662.450279,184,0
1582685662.450279,184,0
1582685662.450279,184,0
1582685662.519211,157,0
1582685662.519211,157,0
1582685662.519211,157,0
1582685662.55441,163,0
1582685662.561698,-84,0
1582685662.5681121,-71,0
1582685662.5681121,-71,0
1582685662.5681121,-71,0
1582685662.5681121,-71,0
1582685662.605524,-85,0
1582685662.61795,5,0
1582685662.626699,-17,0
1582685662.63042,-24,0
1582685662.63042,-24,0
1582685662.63042,-24,0
1582685662.63042,-24,0
1582685662.672965,-54,0
1582685662.68049,40,0
1582685662.689217,-77,0
1582685662.689217,-77,0
1582685662.689217,-77,0
1582685662.689217,-77,0
1582685662.726777,-123,0
1582685662.7296278,-117,0
1582685662.7442229,-93,0
1582685662.7503612,-76,0
1582685662.761701,-34,0
1582685662.7691672,-19,0
1582685662.777965,-5,0
1582685662.786717,-26,0
1582685662.794038,4,0
1582685662.804228,-75,0
1582685662.810463,-71,0
1582685662.810463,-71,0
1582685662.83215,125,0
1582685662.83922,98,0
1582685662.8492632,6,0
1582685662.856711,21,0
1582685662.86675,-17,0
1582685662.876756,-130,0
1582685662.886663,-101,0
1582685662.886663,-101,0
1582685662.886663,-101,0
1582685662.886663,-101,0
1582685662.925518,-5,0
1582685662.928052,4,0
1582685662.928052,4,0
1582685662.928052,4,0
1582685662.928052,4,0
1582685662.972929,106,0
1582685662.9817522,98,0
1582685662.990607,74,0
1582685662.990607,74,0
1582685662.990607,74,0
1582685662.990607,74,0
1582685662.990607,74,0
1582685662.990607,74,0
1582685662.990607,74,0
1582685662.990607,74,0
1582685663.0592158,4,0
1582685663.0592158,4,0
1582685663.0592158,4,0
1582685663.0929742,-13,0
1582685663.1038,150,0
1582685663.109217,5,0
1582685663.109217,5,0
1582685663.109217,5,0
1582685663.109217,5,0
1582685663.109217,5,0
1582685663.156563,36,0
1582685663.166476,35,0
1582685663.167722,49,0
1582685663.167722,49,0
1582685663.167722,49,0
1582685663.167722,49,0
1582685663.2118149,1,0
1582685663.221738,8,0
1582685663.227987,29,0
1582685663.227987,29,0
